Nº REG;NOMBRE;DOMICILIO;nº;Nº Expte;Capacidad;Clase;Estado;Disp nº;Fecha Disp. Inscripción;Disp nº;Fecha Disp. Re-Inscripción;Disp. de rechazo nº ;fecha disposición de rechazo;Disposición de recalculo capacidad nº;Fecha disposición de  capacidad
1;CASTELBAMBA;RIOBAMBA ;345;10560/05;428 personas;C;RENOVADO 2012;1;24/02/2005;19;02/03/2012;;;158;12/12/2005
2;GOLDEN;ESMERALDA ;1040;10561/05;408 personas;C.C;RENOVADO 2012;3;24/02/2005;18;02/03/2012;;;98;08/08/2005
3;REY CASTRO;PERU ;342;11115/05;901 personas;C;RENOVADO 2012;4;01/03/2005;14;02/03/2012;;;67;24/04/2006
4;LA FRANCE;SARMIENTO ;1656;11117/05;1372 personas;C.C;RENOVADO 2012;5;01/03/2005;15;02/03/2012;;;136;29/09/2005
5;BAHREIN ;LAVALLE ;343;11114/05;880 personas;C;RENOVADO 2012;6;01/03/2005;16;02/03/2012;;;95;06/11/2007
6;BELLA ROMA;ROGELIO YRURTIA;6020;10615/05;900 personas;C;"SUSPENDIDO Disp. 108/09 conjunta";7;02/03/2005;73;25/06/2009;;;86;23/06/2006
7;"CLUB SHAMPOO";QUINTANA ;362;10600/05;220 personas;C ;RENOVADO 2012;8;02/03/2005;21;02/03/2012;;;88;27/07/2005
8;CITY HALL ;AV. MOSCONI ;2883/5;10571/05;1434 personas;C;RENOVADO 2012;9;03/03/2005;26;08/03/2012;;;77;27/06/2005
9;IVANOFF;RIVADAVIA ;7514/18;11153/05;323 personas;C.C;RENOVADO 2012;10;03/03/2005;27;08/03/2012;;;127;13/09/2005
10;"MALUCO BELEZA";SARMIENTO ;1728;11304/05;1076 personas;C;RENOVADO 2012;11;03/03/2005;23;06/03/2012;;;92;11/07/2006
11;XEL - HA;AV SAN M ARTÍN ;6628;10614/05;692 personas;C;RENOVADO 2012;12;03/03/2005;43;19/03/2012;;;70;10/06/2005
12;CLOCHE;J.E. URIBURU;1721;10593/05;588 personas;C;RENOVADO 2012;13;03/03/2005;22;06/03/2012;;;78;04/07/2005
13;SUDACA;SARMIENTO ;1752;10622/05;550 personas;C;RENOVADO 2012;18;07/03/2005;28;08/03/2012;;;146;21/10/2005
14;MOLIERE;BALCARCE ;678/82;10598/05;819 personas;C.C;RENOVADO 2012;19;09/03/2005;37;15/03/2012;;;25;10/03/2006
15;AZUCAR ;AV. CORRIENTES ;3328;12571/05;622 personas;c;RENOVADO 2012;16;03/03/2005;87;22/06/2012;;;88;23/06/2006
16;WESTERN ;F. ALCORTA ;7536;10602/05;320 personas;C;RENOVADO 2012;17;03/03/2005;51;29/03/2012;;;89;06/07/2006
17;GONG;AV. CÓRDOBA ;634;10577/05;100 personas;C;RENOVADO 2012;20;10/03/2005;50;28/03/2012;;;51;23/03/2006
18;RUMI;F. ALCORTA;6438/42;10834/05;765 personas;C.C;RENOVADO 2012;21;10/03/2005;31;09/03/2012;;;149;02/11/2005
19;EVELYN;AV. RIVADAVIA ;7425;10578/05;452 personas;C.C;RENOVADO 2012;22;10/03/2005;30;09/03/2012;;;135;29/09/2005
20;CLUB ONE-STATE-ALSINA;ALSINA ;934/44;10575/05;1900 personas;C;RENOVADO 2012;23;10/03/2005;62;20/04/2012;;;61;20/06/2008
21;NICETO CLUB ;NICETO VEGA ;5508;10592/05;1118 personas;C;RENOVADO 2012;24;10/03/2005;25;06/03/2012;;;58;06/05/2005
22;ASIA DE CUBA;OLGA COSENTTINI;751;10642/05;622 personas;C;RENOVADO 2012;25;10/03/2005;32;09/03/2012;;;57;23/04/2007
23;GLAM ;JOSÉ A. CABREREA ;3046/48;10634/05;489 personas;C.C;RENOVADO 2012;26;11/03/2005;85;15/06/2012;;;60;10/05/2007
24;"NEW METROPOLIS";AV. SANTA FE ;4389;10628/05;1602 personas;C;"BAJA INSC.Disp. 77/2008 conjunta";27;11/03/2005;;;61;07/04/2006;145;17/10/2005
25;TIRO LOCO;VICENTE LOPEZ ;2188;11118/05;177 personas;C.C;"BAJA INSC:Disp. Conjunta N° 007/2010";28;14/03/2005;38;17/03/2006;;;38;17/03/2006
26;PALERMO CLUB ;BORGES ;2450;10619/05;650 personas;C;RENOVADO 2012;29;14/03/2005;40;16/03/2012;;;121;18/08/2005
27;TABASCO PUB;JOSÉ MARTÍ ;17;10585/05;999 personas;C;RENOVADO 2012;30;15/03/2005;39;16/03/2012;;;108;27/08/2010
28;OPERA BAY;CECILIA GRIERSON ;225;10674/05;1239 personas;C.C;"BAJA INSC. Disp. 44/2008 conjunta";31;15/03/2005;48;30/03/2007;;;32;17/03/2006
29;THE END;AV. RIVADAVIA ;7428;10581/05;1260 personas;C;RENOVADO 2012;32;15/03/2005;49;23/03/2012;;;35;17/03/2006
30;"AZUCAR BELGRANO";AV. CABILDO;2040;10832/05;521 personas;C;"BAJA INSC: Disp. Conjunta N°47/2010";33;16/03/2005;114;18/12/2009;|;;90;14/09/2007
31;VELVET FRERE;OLLEROS ;1775;10668/05;650 personas;C;RENOVADO 2012;34;16/03/2005;17;03/03/2012;;;19;04/03/2009
32;SAHARA;JUNIN ;1735;10658/05;870 personas;C;BAJA INSC: Disp. Conjunta N° 74/11;35;17/03/2005;43;19/03/2010;;;46;23/03/2006
33;NEW PORT;JUNIN ;1715/19;10566/05;295 personas;C.C;RENOVADO 2012;36;17/03/2005;56;30/03/2012;;;54;23/03/2006
34;LATINO 11;ECUADOR ;60;10594/05;1540 personas;C;RENOVADO 2012;37;18/03/2005;45;23/03/2012;;;34;17/03/2006
35;RETRO;RIVADAVIA ;7802/12;10667/05;1872 personas;C;RENOVADO 2012;38;18/03/2005;38;16/03/2012;;;144/150;05/10/2005
36;BRONCO;O´BRIEN;1160;10827/05;1646 personas;C;INSCRIPCION VENCIDA;39;18/03/2005;24;16/03/2007;001/2010;;147;21/10/2005
37;LA SUREÑA;AV. NAZCA ;55;10617/05;778 personas;C.C;RENOVADO 2011;120;20/10/2010;115;20/10/2011;;;91;09/10/2007
38;CAIX;"R. OBLIGADO Y SALGUERO";sin nº;10607/05;1764 personas;C;RENOVADO 2012;41;18/03/2005;42;16/03/2012;;;134;28/09/2005
39;LE PRIVE;AV. SAN MARTÍN;6101;10583/05;68 personas;C;INSCRPCION VENCIDA;42;21/03/2005;44;23/03/2007;;;52;23/03/2006
40;MUSEUM;PERU ;529;10666/05;1952 personas;C;INSCRIPCION VENCIDA;43;22/03/2005;36;27/03/2009;;;80;13/07/2005
41;ANGEL´S DISCO;VIAMONTE ;2168/70;11627/05;425 personas;C;RENOVADO 2012;44;22/03/2005;52;29/03/2012;;;92;29/07/2005
42;SODOMA;VICENTE LOPEZ ;2233;10671/05;300  personas;C.C;"SUSPENDIDO Disp. Nº26/DGHP/08";45;22/03/2005;1;18/01/2007;;;1;18/01/2007
43;CLUB ARÁOZ;ARAOZ ;2422;10824/05;1030 personas;C;RENOVADO 2012;46;23/03/2005;6;10/02/2012;;;73;17/06/2005
44;MANDARINE;"R. OBLIGADO Y SARMIENTO";sin nº;10611/05;1613 personas;C;RENOVADO 2012;47;23/03/2005;24;06/03/2012;;;38;23/03/2009
45;HORALA (EX LA DIOSA);R. OBLIGADO ;3731;10604/05;1558 personas;C;RENOVADO 2011;48;23/03/2005;107;29/09/2011;;;107;29/09/2011
46;EL FOGÓN;AGÜERO ;512;13661/05;274 personas;C.C;BAJA INSC: Disp N°94/12;49;23/03/2005;46;23/03/2012;;;55;23/03/2006
